Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,526,0.40330702152660813,-0.8816434101087309,0.7383130394126864,199,0.6153535785809918,0.510991302535948,327,0.011604181838238359,0.9149465935872771,-0.5291012767280887,-0.3590227960421699,1.0215238778946145,1.1255716011157026,1.038575422336933
2,Feb,480,0.5003823354414595,-0.6063362322260987,1.2411749232028824,202,0.6415050151919041,0.3659009491251825,278,0.017107297548699718,1.2270138694964172,-0.9682867258254169,0.7826799657285077,0.9954470164916742,1.0687904467505789,1.0385517272128582
3,Mar,527,0.27202503366436365,-1.1616709865272625,0.9535797609873062,124,0.5162155645049239,0.5113609962560971,403,0.05978841897541032,0.9952217231854259,-1.0799954814467172,0.9510994955874019,0.9240751044383954,0.9214455617355297,1.0387895479742555
4,Apr,510,0.43812649053708064,-0.7715321352090492,1.026194754573627,192,0.5562102397777586,0.3889898979936194,318,-0.025508867312579953,0.9803751841427508,-0.9843686733369652,0.5474285973870852,0.8146985545406946,0.7167313460247147,1.0391572059483682
5,May,527,0.2832013969966178,-1.3037641975041667,1.1504123104557786,123,0.35173484434940855,0.5779828553972279,404,-0.1171047970300862,1.1706121656430795,-1.1028844316020676,1.237494531508383,0.6884299213176843,0.5122259045754974,1.0396113952203685
6,Jun,510,0.2196918495581492,-1.3461601223193855,1.1326212299428329,87,0.31739132140345244,0.5621504677275682,423,-0.048077372103147165,1.0028237243223952,-1.2642276085156703,1.974864275122604,0.5796073884828633,0.36275012014386354,1.0391299672219094
7,Jul,527,0.3254468811024937,-0.7032695275467027,1.1914871471211244,131,0.44589087649702175,0.3897414353137556,396,0.07190020711451023,0.8543877163363146,-1.3621877310106958,2.338256374342026,0.5354765034110377,0.30930387078765426,1.0386094233956717
8,Aug,527,0.2129139848288502,-1.1347315620885992,1.2265234831208816,89,0.46075685800483807,0.4659074657571802,438,0.12105506073445774,0.9177448016758564,-1.6189453773344848,3.2282135054235477,0.5827941173423827,0.36734501891929594,1.0399726505348643
9,Sep,510,0.2670287673621238,-1.1248147147054164,1.0182449898260242,121,0.5054848583037777,0.4818853055060505,389,0.07014797289213587,0.9672786416635342,-1.2250251453819645,1.3993179540928669,0.6927823070157925,0.5195269235075312,1.0404165256900006
10,Oct,527,0.27219423115970565,-1.444105548220325,0.9681888662346939,130,0.45078248731463477,0.5687388078972558,397,-0.06499510465152858,1.2018851697304767,-0.9907753541827329,0.6479728129882711,0.818934894458158,0.7252997492619808,1.0399426434226606
11,Nov,510,0.4127260421756078,-1.183629563410209,0.7144511680236493,197,0.578284051795637,0.6106187763871295,313,-0.1489035812635887,1.1820802152855463,-0.31720753024750525,-0.671990405525793,0.9274413008316675,0.928982350244443,1.0392434583171026
12,Dec,527,0.43757413573192255,-0.7081902297653211,0.7293794847713171,218,0.6819981540977841,0.5510612780461864,309,0.07368767352432759,0.8792025639010269,-0.3844097096231084,-0.4117316394815904,0.9982843274465494,1.0754185521040285,1.0388061429589066
