Month,n,p,gap,sd_ratio,dprime,bhatt,E_max_post
Jan,557,0.5125511290280685,0.16399340666883933,1.1310379077777073,0.17577458862833534,0.0076431486928740236,0.540330239620423
Feb,508,0.49058909003504286,1.2066870561680614,3.20093917950318,1.319665718823448,0.49940075277648344,0.8334554264358844
Mar,558,0.40339399662406483,1.174517939605657,2.5314594520970926,1.3933665201053844,0.43301181104656916,0.8373305687400845
Apr,540,0.4363969692071049,1.2443390680929287,2.692942433305571,1.5742908558406408,0.5231322519095096,0.8530421796448855
May,558,0.4064684465345378,1.2116717309791187,2.681676854335166,1.248694952634841,0.4066519970868695,0.8282427738943473
Jun,540,0.37930287219084546,1.0411795602134235,2.8084887717986557,1.0895968964213667,0.3778348567187947,0.8275996471138218
Jul,558,0.3681037257406111,0.9866723291789272,3.198131372139828,1.153859978261017,0.4477744701918882,0.8505343789053781
Aug,558,0.35082668440667125,1.0396116411472291,3.4253466988761994,1.1458994217255407,0.474059273628913,0.8621961500107829
Sep,540,0.4159051468640364,1.097563813404577,2.9340095660152157,1.2750827253895216,0.4497904235762134,0.8377292374783867
Oct,558,0.4202922101429847,1.276190079888056,2.5369347710862837,1.3936661315817358,0.4339053781496307,0.8329870869680216
Nov,540,0.48218158322054516,0.11073610643591118,1.050609355486273,0.10379645067961446,0.0019558229927376194,0.5310646730168738
Dec,558,0.49961434562526386,0.12552189043600948,1.1033719667951882,0.13630511923817207,0.004737703260305465,0.5344341911495226
