Month,Month_abbr,n_obs,p,mu1_raw,mu1,sd1,N1,mu0_raw,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,557,0.4854040470233429,-0.016869240896725417,-0.017504331907771835,0.9373241842496596,125,0.05424197965816552,0.05628407473008726,0.9373241842496596,432,0.020466883524666354,0.8799366486627356,-3.549110316505926e-06,-4.769554160510836e-06,1.0124293057168454,1.1036450364843569,1.0376478713496646
2,Feb,508,0.4769866286980269,-0.030548442443679564,-0.0316978165086347,1.0882584721377127,83,0.07455415430588784,0.07735922731580754,1.0882584721377127,425,0.025340475646213858,1.1872735629347697,-1.1512355828471159e-05,-1.243750806212418e-05,0.9868285385470267,1.0484891754454417,1.0376246372322966
3,Mar,558,0.4866393283695069,0.03369357755035409,0.0349690721014799,0.970407282026879,84,0.08375504261836184,0.08692564984549221,0.970407282026879,474,0.061641535747768005,0.942364682624895,-1.0234843221281577e-06,-1.0228045561611054e-06,0.9168909572046691,0.9055435538502868,1.0378557174351586
4,Apr,540,0.48419611517447336,-0.04936615593216359,-0.051252312124898204,0.9718430487070511,87,0.010441676963692614,0.010840627080340677,0.9718430487070511,453,-0.01922453286260074,0.945441831626354,-2.0557684366226058e-06,-2.0704824610362493e-06,0.8098672409264246,0.7069618322498196,1.0382074754883988
5,May,558,0.4844758394187298,-0.17639257705626019,-0.18320646238999927,1.0772176700212632,113,-0.08157078608845773,-0.08472179160277954,1.0772176700212632,445,-0.13243523515229508,1.1628203786907854,-5.907397988508783e-06,-8.663285690602152e-06,0.6866504437710342,0.508618763047947,1.0386290933975402
6,Jun,540,0.47322759394678915,-0.07666191681520218,-0.0795871832684806,0.9985419913597712,17,-0.03555275639153393,-0.03690937894826487,0.9985419913597712,523,-0.05710569360165244,0.9975401517479253,-1.0414084613917716e-06,-4.119637440069823e-07,0.5808955041125288,0.36368295878480356,1.0381580134544501
7,Jul,558,0.47909117965921405,0.039401320014985336,0.040885963568376815,0.8930729758662274,79,0.11801850214067816,0.12246544473847533,0.8930729758662274,479,0.0833814348687062,0.7992402336422817,-7.929872834508224e-06,-8.606659098298053e-06,0.5382088511664245,0.31190950010448876,1.0376800460702036
8,Aug,558,0.4781898217650885,0.0782623488519099,0.08131178452828107,0.9278682352989356,60,0.15061777393994538,0.1564864862912342,0.9278682352989356,498,0.12053870905396397,0.8623495828213134,-5.774204879535233e-06,-5.327419221323737e-06,0.5840974113835221,0.36827462164544916,1.0389642749177053
9,Sep,540,0.48636174912093416,0.03319676256021989,0.034505007800748916,0.9665311749385449,84,0.08690274186853877,0.09032747638089374,0.9665311749385449,456,0.06317756292200612,0.9349609695182715,-1.311119669028777e-06,-1.3844125414941288e-06,0.6910509756894102,0.5159325930676056,1.0394088200063434
10,Oct,558,0.48832530347188235,-0.07422495282694959,-0.07711754744523705,1.0662234095683727,99,-0.018180721083017153,-0.018889235591391842,1.0662234095683727,459,-0.04732359364807621,1.1376795310617989,-9.491862679347726e-07,-1.1077944281900898e-06,0.8141672169533627,0.7155397758045166,1.0389706494665123
11,Nov,540,0.5054785284178526,-0.20901838646851592,-0.21702346978135564,1.065071473875326,274,-0.06943573841212065,-0.07209502059427116,1.065071473875326,266,-0.14535323981524015,1.1396276778814345,6.853276159325095e-06,-4.2441431599815616e-05,0.9203077910780606,0.9130837653118888,1.0382984647814488
12,Dec,558,0.4920551553201283,-0.014494374061331387,-0.015043323124136119,0.921112625206231,217,0.10321420018280633,0.10712325746384128,0.921112625206231,341,0.0470105616776951,0.8521786946137557,-9.204644005909409e-06,-3.830183637409945e-05,0.9896836330127197,1.0550703395103778,1.0378732507165824
