Month,n,p,gap,sd_ratio,dprime,bhatt,E_max_post
Jan,557,0.4854040470233429,0.07111122055489094,1.0,0.07586619629559267,0.0007194599675451747,0.5193996325917571
Feb,508,0.4769866286980269,0.1051025967495674,1.0,0.09657870757772266,0.0011659308446729081,0.5273952250280114
Mar,558,0.4866393283695069,0.050061465068007745,1.0,0.05158809707553401,0.00033266646998434014,0.5153644807441387
Apr,540,0.48419611517447336,0.05980783289585621,1.0,0.06154062940042129,0.00047340613337499963,0.5182338351604827
May,558,0.4844758394187298,0.09482179096780245,1.0,0.08802472667008031,0.0009685440631677932,0.5217460253736983
Jun,540,0.47322759394678915,0.04110916042366825,1.0,0.04116918545176811,0.0002118627288452594,0.5268021385170514
Jul,558,0.47909117965921405,0.07861718212569282,1.0,0.08802996423605682,0.0009686593254251802,0.5249279435385579
Aug,558,0.4781898217650885,0.07235542508803548,1.0,0.07798028031935418,0.0007601155148356321,0.5243805713111771
Sep,540,0.48636174912093416,0.053705979308318885,1.0,0.05556569793181651,0.00038594334833123465,0.5160318754482054
Oct,558,0.48832530347188235,0.056044231743932436,1.0,0.05256331012899088,0.0003453626964645594,0.5143685419728132
Nov,540,0.5054785284178526,0.13958264805639525,1.0,0.13105472400693963,0.0021469175855668896,0.5264868007150361
Dec,558,0.4920551553201283,0.11770857424413772,1.0,0.1277895569152399,0.002041271357074168,0.5262556338791382
