Month,Month_abbr,n_obs,p,mu1_raw,mu1,sd1,N1,mu0_raw,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,557,0.5168651921772328,-0.035017192683048405,-0.03633551544820623,1.0000184936225704,242,0.07828761833189637,0.08123498051512726,0.9209256597288497,315,0.02046688352466632,0.9300846806977168,-0.014903520807332617,0.0198404136509458,1.0124293057168454,1.1036450364843569,1.0376478713496646
2,Feb,508,0.38881640395948647,-0.7392010971509548,-0.7670132702729752,1.3029736140864987,150,0.5102151553677731,0.5294118154989054,0.5805454557866372,358,0.02534047564621389,1.2655011258887008,-0.9642757627002086,1.0984913064937123,0.9868285385470267,1.0484891754454417,1.0376246372322966
3,Mar,558,0.34622682635405866,-0.7383135160798545,-0.7662629039231319,1.1454802538682671,131,0.48184465668777715,0.5000852318589907,0.5545197586944888,427,0.06164153574776776,1.0183124883751027,-0.978287287719196,1.1088399932898039,0.9168909572046691,0.9055435538502868,1.0378557174351586
4,Apr,540,0.36491872216356425,-0.8132944220863183,-0.8443683487830328,1.1142290283446723,146,0.4381633148075211,0.45490442891794497,0.5314371935621284,394,-0.019224532862600507,1.0236366249180158,-0.9691306450358178,0.9446460463395989,0.8098672409264246,0.7069618322498196,1.0382074754883988
5,May,558,0.34813885489224633,-0.9505787060994076,-0.9872986997190345,1.3252801668922856,131,0.3120660448783206,0.32412087327212624,0.6059933225240516,427,-0.13243523515229516,1.2411345179993174,-1.0094207525763872,1.336687729972752,0.6866504437710342,0.508618763047947,1.0386290933975402
6,Jun,540,0.3144727765433631,-0.8163010856863989,-0.8474495134969028,1.3256296763414894,106,0.294222777070972,0.3054497337570518,0.5779938376155921,434,-0.057105693601652574,1.0681833704119148,-1.0722527199459064,1.845855705911701,0.5808955041125288,0.36368295878480356,1.0381580134544501
7,Jul,558,0.2949889783408149,-0.6641460634784965,-0.6891711177477106,1.225297601916055,108,0.3918654657327415,0.406630974534873,0.4972473142096311,450,0.08338143486870636,0.8669276261574621,-1.201220960343077,2.2319112514610415,0.5382088511664245,0.31190950010448876,1.0376800460702036
8,Aug,558,0.26153575632057346,-0.7732261302987139,-0.8033543258132264,1.2972466127856859,92,0.4309544160489061,0.44774624239283484,0.5099865197698619,466,0.12053870905396344,0.9344942841434072,-1.3413481286181346,2.666385261542115,0.5840974113835221,0.36827462164544916,1.0389642749177053
9,Sep,540,0.3429625709155774,-0.7267750597410848,-0.7554164072555207,1.1761929559548547,131,0.47187395584457636,0.4904699516361365,0.5330314009612392,409,0.06317756292200599,1.0109227378084396,-1.0455736461743683,1.3213922793707447,0.6910509756894102,0.5159325930676056,1.0394088200063434
10,Oct,558,0.35653816796709303,-0.9252688654490192,-0.9613271940667104,1.2191144589611487,140,0.44189898211774736,0.4591200724494667,0.5964293468235055,418,-0.04732359364807631,1.2216900123657062,-0.9581919872753492,0.9573518767579778,0.8141672169533627,0.7155397758045166,1.0389706494665123
11,Nov,540,0.48862022195358756,-0.20707320382396668,-0.21500378962780065,1.1136818893898772,159,-0.07589587386403247,-0.0788025693162714,1.0639874676374452,381,-0.1453532398152403,1.1895821347707836,-0.008526869139085916,0.006221710638719902,0.9203077910780606,0.9130837653118888,1.0382984647814488
12,Dec,558,0.5038031697089334,0.005791696557840647,0.006011046933650113,0.9823823286156054,186,0.08540404075516869,0.08863856940289842,0.9135558912809114,372,0.04701056167769501,0.9020327093267988,-0.009437333306684585,0.01567495818065856,0.9896836330127197,1.0550703395103778,1.0378732507165824
