Month,n,p,gap,sd_ratio,dprime,bhatt,E_max_post
Jan,557,0.40145202547870146,1.4333491430032934,1.4714876098138205,2.2212926759434426,0.6531772134326208,0.8839722138111805
Feb,508,0.4852175991432576,1.2176750536417946,3.1639770290937674,1.3310086922438409,0.49839559542017864,0.8343954296324116
Mar,558,0.2640136951470966,1.6187269313841741,1.884108907315162,2.1092807185225397,0.6503809951129853,0.9134090076129222
Apr,540,0.4029801070753697,1.3054384062446203,2.547817722130926,1.652390915967657,0.5339834674375787,0.8635451161981749
May,558,0.2764771638688424,1.6318499178104657,2.0889163201289986,1.7441583972964896,0.50517979076821,0.8899276027566196
Jun,540,0.20623985692351096,1.6760390317367166,2.0131235228610587,1.8358196459954732,0.5348199215104441,0.9153128336601628
Jul,558,0.3007682704250419,1.1179714223918744,2.942573183605206,1.2626475717792967,0.4470004996033001,0.8719785872767326
Aug,558,0.2107270974363039,1.5212021467262202,2.605653520690758,1.6622538540850988,0.5463544970042347,0.9184042990080442
Sep,540,0.2678990271697726,1.5936763772530909,2.0252622984185322,2.0429938401691627,0.6370904491252467,0.912067482779093
Oct,558,0.26394599227116206,1.8346147306878327,1.749809631546877,2.3001637787760414,0.735834352538013,0.9220628385774519
Nov,540,0.39957988748240797,1.7204933397156532,1.1264655181248036,2.595108933382885,0.8453607507316593,0.9075985526047619
Dec,558,0.4481518778996084,1.3426840293352336,1.2893780660877028,2.079713620493556,0.5566294875051363,0.8583540435062414
