Month,Month_abbr,n_obs,p,mu1_raw,mu1,sd1,N1,mu0_raw,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,557,0.49041842361367477,-0.5957469391145556,-0.6181755432352969,0.8876109750902704,234,0.6120503460447597,0.6350927387321705,0.5029485664797201,323,0.020466883524666635,0.9078062528156943,-0.5919649670545933,-0.0840657553648585,1.0124293057168454,1.1036450364843569,1.0376478713496646
2,Feb,508,0.4896531340453148,-0.5917720088176923,-0.6140372159736854,1.2346744179441944,209,0.6156296055331811,0.638792446110829,0.38672668585513403,299,0.025340475646213834,1.2149912015448676,-0.9717929115827396,0.7970542877786664,0.9868285385470267,1.0484891754454417,1.0376246372322966
3,Mar,558,0.4225706476906351,-0.5947534406815026,-0.6172682588755299,1.1132098742543477,177,0.5381065411427476,0.5584769503142579,0.4274472851096892,381,0.061641535747767984,0.9664740823610816,-1.0216715194403878,0.9976343683255515,0.9168909572046691,0.9055435538502868,1.0378557174351586
4,Apr,540,0.44649126986264215,-0.6969821580737419,-0.7236120867941956,1.0502465170226793,201,0.5287710735399479,0.5489740813711997,0.3838832776580008,339,-0.019224532862601507,0.9742883991541267,-0.994271456738206,0.6423607962989522,0.8098672409264246,0.7069618322498196,1.0382074754883988
5,May,558,0.41872544951076024,-0.8147122651175207,-0.8461838612988669,1.2862532018048702,177,0.3675218644798511,0.3817189009084814,0.4723620189998842,381,-0.13243523515229466,1.1894333911227766,-1.045753008474889,1.2394212044441888,0.6866504437710342,0.508618763047947,1.0386290933975402
6,Jun,540,0.3929122487412685,-0.6757552452876039,-0.7015407230292036,1.2645474784101267,151,0.3467468535153274,0.3599780246170535,0.44426396958956016,389,-0.05710569360165246,1.016902802333571,-1.0979198495671796,1.7015454212764283,0.5808955041125288,0.36368295878480356,1.0381580134544501
7,Jul,558,0.38075921017823006,-0.5147476448911625,-0.5341433598651903,1.149567458314274,153,0.4462700372241289,0.4630855127864855,0.3553395298898712,405,0.08338143486870661,0.8158411827044864,-1.2197952891593689,1.975412897733424,0.5382088511664245,0.31190950010448876,1.0376800460702036
8,Aug,558,0.3646663918926026,-0.5268404832381992,-0.5473684406648691,1.224888162441455,151,0.4850037213625595,0.5039015396978404,0.35018945747243546,407,0.12053870905396391,0.881091012978601,-1.3052949079248855,2.2951686599811003,0.5840974113835221,0.36827462164544916,1.0389642749177053
9,Sep,540,0.4224161039403568,-0.565747434815695,-0.5880428736433972,1.15189637554521,173,0.5189947938438271,0.5394477662586478,0.38884299984276655,367,0.0631775629220061,0.9579761806598488,-1.0926364947416372,1.2730115635187023,0.6910509756894102,0.5159325930676056,1.0394088200063434
10,Oct,558,0.426294576029799,-0.7676731251660569,-0.7975898454317654,1.208128542642108,185,0.49102961222752134,0.5101653551233175,0.4722211182427319,373,-0.047323593648076256,1.168406038854169,-1.003304258798393,0.9120052456891217,0.8141672169533627,0.7155397758045166,1.0389706494665123
11,Nov,540,0.49221717101034795,-0.9299531121256924,-0.9655688886388369,0.843940410859869,250,0.6257539679131577,0.6497193842151316,0.6015760934896132,290,-0.14535323981523968,1.1864689659283938,-0.34101926929565113,-0.5233808465934162,0.9203077910780606,0.9130837653118888,1.0382984647814488
12,Dec,558,0.48978241425606023,-0.4769781864024305,-0.49504290084239055,0.8814985193223063,241,0.5466503407121505,0.5673537661202469,0.6407674378535833,317,0.047010561677694684,0.872120807095522,-0.3658824481104365,-0.05998833280322913,0.9896836330127197,1.0550703395103778,1.0378732507165824
