Month,n,p,gap,sd_ratio,dprime,bhatt,E_max_post
Jan,557,0.49041842361367477,1.2077972851593153,1.7648146038130934,1.6742612034212805,0.4270646472632159,0.8202216563929546
Feb,508,0.4896531340453148,1.2074016143508735,3.1926279284659906,1.3197504504374467,0.4983604985424935,0.833373785002405
Mar,558,0.4225706476906351,1.1328599818242502,2.6043208438408536,1.3435364920362332,0.42641471372439566,0.829924381747327
Apr,540,0.44649126986264215,1.2257532316136897,2.7358485720712675,1.5502306545628266,0.5197496051728804,0.8498322363571498
May,558,0.41872544951076024,1.1822341295973717,2.723024184984664,1.220169189722555,0.403656106046308,0.8236415098745957
Jun,540,0.3929122487412685,1.0225020988029314,2.846387654570317,1.0788760249489298,0.38014058138135554,0.8238199105668226
Jul,558,0.38075921017823006,0.9610176821152914,3.235124047894571,1.1295263359652097,0.4455657623144411,0.8461143251680211
Aug,558,0.3646663918926026,1.0118442046007587,3.4977870872593866,1.1232374420366815,0.4764830260226071,0.858650475436558
Sep,540,0.4224161039403568,1.084742228659522,2.9623688121195277,1.2618127319881411,0.44939944446049357,0.8358050895806783
Oct,558,0.426294576029799,1.2587027373935782,2.5583958361241774,1.3723091043644735,0.4296085676356581,0.8300425159839079
Nov,540,0.49221717101034795,1.5557070800388502,1.4028822288537977,2.122826800155003,0.5914185800019246,0.8624926161955653
Dec,558,0.48978241425606023,1.0236285271145809,1.3756918146076746,1.3283672536161697,0.24558340826442548,0.7565337324758514
