Month,Month_abbr,n_obs,p,mu1_raw,mu1,sd1,N1,mu0_raw,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,557,0.5866925249191485,-0.4367507776814453,-0.45319351477146236,0.9275398318335745,268,0.6669480657178373,0.6920572406928901,0.4395173132750677,289,0.02014718330394688,0.9026325026994996,-0.5744925087002589,-0.10642851617145688,1.0124293057168454,1.1036450364843569,1.0376478713496646
2,Feb,508,0.524453081294842,-0.51833667967458,-0.5378389092115292,1.232982774612542,219,0.6227911340421213,0.6462234245319467,0.37005821638916964,289,0.02523828515501908,1.2120834044765365,-0.9031897310392838,0.7122681594606104,0.9868285385470267,1.0484891754454417,1.0376246372322966
3,Mar,558,0.38303797012995594,-0.6975200421038532,-0.7239251637230966,1.0952396869598868,160,0.5300672014889186,0.5501332756901284,0.4523010660121038,398,0.06212051723034723,0.9692892884662566,-1.0615663169931877,1.0402303068451078,0.9168909572046691,0.9055435538502868,1.0378557174351586
4,Apr,540,0.46690038974896275,-0.6603819721154144,-0.6856135001279945,1.0449064632769178,207,0.5438907303048527,0.5646714220513427,0.3738514626851718,333,-0.019087095411441435,0.9733747152201813,-0.9591043433133816,0.5529113681874716,0.8098672409264246,0.7069618322498196,1.0382074754883988
5,May,558,0.418138038244392,-0.8236514214676549,-0.8554683291545456,1.27862780874944,177,0.3732934963745922,0.38771348571074066,0.4727472497040097,381,-0.1321081195381331,1.1896678829776781,-1.0459581084235987,1.2068925760024012,0.6866504437710342,0.508618763047947,1.0386290933975402
6,Jun,540,0.35259496199746704,-0.7611183488255107,-0.7901611130204234,1.281816814497096,135,0.33038680492679573,0.3429937090743652,0.4738368280530629,405,-0.05655097235939327,1.0177989610177292,-1.167396053564826,1.90591144770322,0.5808955041125288,0.36368295878480356,1.0381580134544501
7,Jul,558,0.36229084489116953,-0.5542625127203825,-0.5751471497346733,1.1548716176291844,148,0.441578627325802,0.4582173303470555,0.3675703150521471,410,0.08383883977772186,0.8160673562659015,-1.2597669395634845,2.0762350296582124,0.5382088511664245,0.31190950010448876,1.0376800460702036
8,Aug,558,0.34104005898658407,-0.5813629885709902,-0.604015375884649,1.2336522242385648,142,0.47776404546852064,0.49637977508195114,0.3700598583731926,416,0.12110094788775072,0.8813897296300476,-1.356749699537273,2.442268916134039,0.5840974113835221,0.36827462164544916,1.0389642749177053
9,Sep,540,0.42233588387870946,-0.5663113140700282,-0.5886289747137697,1.1492629900445117,171,0.5197413325155573,0.54022372513852,0.3924601437140568,369,0.0634687223775357,0.9576890589085802,-1.086759259173196,1.2546378841275772,0.6910509756894102,0.5159325930676056,1.0394088200063434
10,Oct,558,0.39368464751923266,-0.8680415138079816,-0.9018696553649731,1.1796202452462219,170,0.48926669716432514,0.5083337381151543,0.49662216186781444,388,-0.04684168777749537,1.1720419684348944,-1.0233305761448914,0.8910031503839284,0.8141672169533627,0.7155397758045166,1.0389706494665123
11,Nov,540,0.42608808393140996,-1.0930169854716902,-1.1348778579953032,0.7539594122788285,217,0.5682710538951905,0.5900349628391123,0.6219568851828962,323,-0.14492983593894726,1.1917953205232297,-0.3192360534134317,-0.6125323315623121,0.9203077910780606,0.9130837653118888,1.0382984647814488
12,Dec,558,0.7242646547856588,-0.2176187272622408,-0.22586065588046722,0.9232736612256087,390,0.7333956488707223,0.7611717261548538,0.44291001297674143,168,0.04629905871777554,0.8660383455213718,-0.3746485084590154,-0.16420975550777417,0.9896836330127197,1.0550703395103778,1.0378732507165824
