Month,n,p,gap,sd_ratio,dprime,bhatt,E_max_post
Jan,557,0.5866925249191485,1.1036988433992825,2.1103601697098164,1.5207126524407903,0.4172077747877795,0.798784097256707
Feb,508,0.524453081294842,1.1411278137167011,3.3318616369157508,1.2536121377510785,0.49476025847528443,0.8249604965868885
Mar,558,0.38303797012995594,1.227587243592772,2.421483762168665,1.4650899494357985,0.4426620899044696,0.8459463710341784
Apr,540,0.46690038974896275,1.204272702420267,2.794977598246969,1.5346381188076779,0.521955160937329,0.8458766961467872
May,558,0.418138038244392,1.196944917842247,2.7046752985871363,1.2417152479279645,0.40771427036124464,0.8251291451715335
Jun,540,0.35259496199746704,1.0915051537523064,2.7051861286593604,1.129540176573597,0.37453652014446187,0.8358228798120872
Jul,558,0.36229084489116953,0.9958411400461845,3.1419066511541964,1.1620327013847465,0.44287739792425584,0.851076905605616
Aug,558,0.34104005898658407,1.059127034039511,3.33365588383939,1.1629486146558676,0.46759823659251043,0.8636632159074128
Sep,540,0.42233588387870946,1.0860526465855855,2.9283559323207484,1.264721314620629,0.44573762149678403,0.8348372260030166
Oct,558,0.39368464751923266,1.3573082109723067,2.37528716159107,1.4997480252552917,0.4487284979086639,0.8447613721952322
Nov,540,0.42608808393140996,1.6612880393668807,1.2122374239126155,2.4037728189958574,0.7314698122138604,0.8909999954445736
Dec,558,0.7242646547856588,0.951014376132963,2.0845626293711557,1.313398214511879,0.3398920526781488,0.7707753804829167
