Month,Month_abbr,n_obs,p,mu1_raw,mu1,sd1,N1,mu0_raw,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,557,0.7440517330123199,-0.23756570487367254,-0.24650954796784896,1.0540285781550267,379,0.6650282798592323,0.6900651789832615,0.26688322438901285,178,-0.0067948697002525316,1.0119017207580174,-0.47154133230523465,0.08601337641728168,1.0124293057168454,1.1036450364843569,1.0376478713496646
2,Feb,508,0.5436773637497611,-0.3756733607861089,-0.38980793470352393,1.1360758415907883,239,0.6323120702380369,0.6561025824983455,0.31826632478708305,269,0.08746470978788407,1.0193249455214954,-0.875566559939977,0.71089288136878,0.9868285385470267,1.0484891754454417,1.0376246372322966
3,Mar,558,0.4096269963076351,-0.6894917406739596,-0.7155929451827886,1.1259257427950473,173,0.5453329780820129,0.5659769492083591,0.43549484946663114,385,0.04101132281062014,1.028446615533811,-1.049264365776419,0.9580465067520971,0.9168909572046691,0.9055435538502868,1.0378557174351586
4,Apr,540,0.5009012522892785,-0.6450894510054898,-0.6697366903926066,1.067789920855877,219,0.5700108033453675,0.5917894771423081,0.346054120638425,321,-0.04011055997162488,1.0287448174649962,-0.9244155194509918,0.43462255422785834,0.8098672409264246,0.7069618322498196,1.0382074754883988
5,May,558,0.4345240730281373,-0.6693717144370986,-0.6952289369117609,1.1988842637261845,198,0.37824467389964905,0.3928559227348407,0.4325053295800564,360,-0.07994314227904972,1.021236613529533,-1.0118450284586336,1.2222237899527872,0.6866504437710342,0.508618763047947,1.0386290933975402
6,Jun,540,0.37288168385039067,-0.7263751750667552,-0.754092208769931,1.2718557766865297,150,0.34301741974194544,0.3561062830595694,0.4542466264975474,390,-0.0578663999819789,1.0207978522657923,-1.1446019770819902,1.7989153958182218,0.5808955041125288,0.36368295878480356,1.0381580134544501
7,Jul,558,0.39138649641675755,-0.6555975804411119,-0.6803005274756471,1.2680570945792773,151,0.4524336472220181,0.469481367893054,0.35848278303204567,407,0.019472260221279236,1.0224542648029042,-1.2518418122693915,1.9061097069541484,0.5382088511664245,0.31190950010448876,1.0376800460702036
8,Aug,558,0.3795463271792094,-0.6060323922350096,-0.6296460049750892,1.3003209482379714,152,0.4909769265089991,0.5101074864517458,0.3473366844798916,406,0.07751823489101001,1.022514950793969,-1.3040342416920307,2.1730596977847956,0.5840974113835221,0.36827462164544916,1.0389642749177053
9,Sep,540,0.46880597147993425,-0.5179319330043426,-0.5383430193276483,1.1844561166414167,197,0.5327081597129811,0.5537015596950204,0.356229022120389,343,0.04174453992690241,1.02209286220326,-1.0270593120692697,1.1326873202728347,0.6910509756894102,0.5159325930676056,1.0394088200063434
10,Oct,558,0.41187383465230126,-0.6974692531837223,-0.7246500829632153,1.138237263709087,186,0.49005101591371103,0.5091486222755925,0.46062091059430343,372,0.0009792183598404391,1.0271434711163345,-1.0101706081577067,0.9677144535129982,0.8141672169533627,0.7155397758045166,1.0389706494665123
11,Nov,540,0.3927067001302807,-1.0592275047411464,-1.0997942920270172,0.6991557933002397,207,0.5059127790481686,0.5252884617990298,0.6070883051309138,333,-0.11289242389462634,1.0456060524553055,-0.3362006790033136,-0.5569337231115679,0.9203077910780606,0.9130837653118888,1.0382984647814488
12,Dec,558,0.8650449126118643,-0.08283016663076069,-0.0859672142984638,1.0299288584544943,490,0.7335510051223018,0.7613329662526997,0.18451155359662988,68,0.028380255611801602,1.0060051467741489,-0.25056637278459637,0.010141780034708336,0.9896836330127197,1.0550703395103778,1.0378732507165824
