Month,n,p,gap,sd_ratio,dprime,bhatt,E_max_post
Jan,557,0.7440517330123199,0.9025939847329049,3.9493998941599244,1.1739819581852644,0.5435576524766317,0.8195652064548922
Feb,508,0.5436773637497611,1.0079854310241458,3.5695760220652044,1.208246647744076,0.5099092878237581,0.8254464572531466
Mar,558,0.4096269963076351,1.2348247187559724,2.5853939355976676,1.4465592042672932,0.4596413142418635,0.8429850074346839
Apr,540,0.5009012522892785,1.2151002543508573,3.0856153912744717,1.5309256981684536,0.5597052301199832,0.8483182232008077
May,558,0.4345240730281373,1.0476163883367478,2.7719525789202373,1.162446260627832,0.3932856537906828,0.8156542713287631
Jun,540,0.37288168385039067,1.0693925948087006,2.799923439152711,1.1198113340831553,0.384996738914991,0.8319083719000055
Jul,558,0.39138649641675755,1.1080312276631301,3.5372886916745525,1.1891380277621013,0.5003066110531775,0.8570538539238728
Aug,558,0.3795463271792094,1.0970093187440086,3.743690218570193,1.1526802754993293,0.5140065382429486,0.8634355418044533
Sep,540,0.46880597147993425,1.0506400927173236,3.3249848919977247,1.201286545944636,0.47784152636456256,0.8317512556667281
Oct,558,0.41187383465230126,1.1875202690974334,2.4710933384255345,1.3676990353517635,0.41541215941886267,0.8299864783695586
Nov,540,0.3927067001302807,1.565140283789315,1.151654194935401,2.390467540579757,0.7192597214409123,0.8910790943418515
Dec,558,0.8650449126118643,0.8163811717530625,5.581920689400699,1.1034203436002767,0.6811801200878718,0.872389064922038
