Month,Month_abbr,n_obs,p,mu1_raw,mu1,sd1,N1,mu0_raw,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,557,0.4892735909619071,-0.05160111175365239,-0.05354378377045356,0.9856682707128398,142,0.08805373260820328,0.09136876820529469,0.8845603043846134,415,0.020466883524666322,0.8802136213885224,-0.0248948800194892,0.03469138122016302,1.0124293057168454,1.1036450364843569,1.0376478713496646
2,Feb,508,0.4995262261823497,-0.5632846282024112,-0.584478007997056,1.1532928520517798,215,0.6294475783264958,0.6531303151177777,0.3804440726298264,293,0.03491249998035878,1.1197677078189738,-0.9289124815373514,0.6086009833613062,0.9868285385470267,1.0484891754454417,1.0376246372322966
3,Mar,558,0.4056016847289029,-0.6360693048097695,-0.6601481646818259,1.087554322438852,173,0.5372731129471618,0.5576119720963977,0.43668270458522873,385,0.06368640902345102,0.9506025658425239,-1.0314652265571105,0.9704041135606123,0.9168909572046691,0.9055435538502868,1.0378557174351586
4,Apr,540,0.4351761516852668,-0.7224489353174453,-0.7500518853052063,1.030123135968226,199,0.5267762314541783,0.5469030214053349,0.3885870093155094,341,-0.01750082380628265,0.9605317328403395,-0.9984873200775088,0.6214540378888889,0.8098672409264246,0.7069618322498196,1.0382074754883988
5,May,558,0.41780417166481437,-0.8171385736376731,-0.8487038959174555,1.2635965406054994,177,0.37200819135539426,0.3863785305239118,0.4710719547622392,381,-0.1296440595931927,1.167343473437758,-1.0421370182720011,1.190487527272099,0.6866504437710342,0.508618763047947,1.0386290933975402
6,Jun,540,0.37309220456970976,-0.7126583204487215,-0.7398519462288297,1.2711891545769634,147,0.33741905019032015,0.35029429084727015,0.45793131986064545,393,-0.05643077204682534,1.0123156220737206,-1.1316134580435657,1.8048395945839744,0.5808955041125288,0.36368295878480356,1.0381580134544501
7,Jul,558,0.3719247223155984,-0.5332346977310978,-0.5533270057078367,1.1441171866373179,151,0.4451644807136641,0.4619382988557732,0.35902152077247806,407,0.08433603237929105,0.8085906836237091,-1.2408922803258053,2.008202685462794,0.5382088511664245,0.31190950010448876,1.0376800460702036
8,Aug,558,0.3536901153077077,-0.5515459844075825,-0.5730365737737959,1.22959134218426,147,0.4814990193847269,0.5002602795486388,0.3577075129625064,411,0.12064579173762707,0.8807725110291338,-1.3323818843595272,2.3726430073478015,0.5840974113835221,0.36827462164544916,1.0389642749177053
9,Sep,540,0.4125408414777799,-0.5874118857664232,-0.6105610950421789,1.1489134926536533,169,0.5165983830328179,0.5369569157253262,0.3955406276723082,371,0.06355886995239152,0.9555912862818575,-1.1077796385640089,1.295724004987762,0.6910509756894102,0.5159325930676056,1.0394088200063434
10,Oct,558,0.41394218572315905,-0.8023264154119953,-0.8335935969047396,1.202100540884137,184,0.4889760114459949,0.5080317241855901,0.4798359449984612,374,-0.047323593648076034,1.1697600436875941,-1.0172460418201028,0.9235730038635257,0.8141672169533627,0.7155397758045166,1.0389706494665123
11,Nov,540,0.506962728997611,-0.20015122905533111,-0.2078167138522704,1.0940963032435418,208,-0.07813315324396888,-0.08112553306174657,1.0355036901138062,332,-0.14535323981524023,1.1395379933662084,-0.009738940679807732,0.008933869699784935,0.9203077910780606,0.9130837653118888,1.0382984647814488
12,Dec,558,0.49497084020351606,-0.003769248938378532,-0.0039120026484349545,0.9686343842618071,154,0.09338224694504076,0.0969189361960681,0.873280098005319,404,0.04701056167769507,0.8520935187164795,-0.01688784382276416,0.03188051614324916,0.9896836330127197,1.0550703395103778,1.0378732507165824
