Month,n,p,gap,sd_ratio,dprime,bhatt,E_max_post
Jan,557,0.4892735909619071,0.13965484436185566,1.114303078972741,0.14912744808251183,0.005702563507101191,0.541943547967558
Feb,508,0.4995262261823497,1.192732206528907,3.0314386135118956,1.3889548433879257,0.5007419868005999,0.8324850160582018
Mar,558,0.4056016847289029,1.1733424177569314,2.4904909469035097,1.4158941347819822,0.43499823436293694,0.8374081206464525
Apr,540,0.4351761516852668,1.2492251667716237,2.650945891842276,1.60463738355069,0.5292632460508027,0.854965036886017
May,558,0.41780417166481437,1.1891467649930674,2.6823854144390014,1.2470493885915428,0.40623848321529266,0.8248292643565267
Jun,540,0.37309220456970976,1.0500773706390416,2.7759384419563244,1.0990836636288461,0.37592678975308214,0.829133761562809
Jul,558,0.3719247223155984,0.9783991784447619,3.186764916419528,1.153895942864184,0.4463227645086366,0.8490095308759318
Aug,558,0.3536901153077077,1.0330450037923093,3.4374210706419834,1.1408596996133367,0.4741026400852214,0.8613424372016412
Sep,540,0.4125408414777799,1.1040102687992412,2.9046662018382814,1.2849258369961953,0.4489700805165848,0.8384713895056313
Oct,558,0.41394218572315905,1.2913024268579902,2.5052323683003617,1.4109063709767788,0.4353713952883926,0.8352141456447346
Nov,540,0.506962728997611,0.12201807581136223,1.0565836835630167,0.11454913525076403,0.0023971773536347885,0.5237619423921767
Dec,558,0.49497084020351606,0.09715149588341929,1.109190953136673,0.10534861731250757,0.0040673392832730765,0.5332234925562553
