Month,n,p,gap,sd_ratio,dprime,bhatt,E_max_post
Jan,557,0.49695912206098064,0.09613400808192685,1.0746309454328145,0.09812528887322738,0.0024976375369476526,0.5260087946090369
Feb,508,0.49058478574601877,1.2070111110203934,3.201348628992464,1.3201715078457223,0.49962023424445795,0.8335183938208588
Mar,558,0.39941335627086827,1.1830363903672332,2.5152407207266174,1.4035140078121224,0.43421817984820626,0.8388231190110121
Apr,540,0.438316943808555,1.240524544686509,2.700921944908965,1.5691317176313282,0.5222268324721084,0.8523656903552562
May,558,0.4037850299186854,1.2162969562159052,2.6692232545237426,1.2522947787177667,0.40602057972213473,0.8288732574821146
Jun,540,0.3761332873759379,1.0461588290153705,2.7985615331306475,1.0929093942387196,0.3773677289776677,0.8285227434192557
Jul,558,0.3696075459200434,0.9825764747054984,3.201713379698558,1.1493131756978188,0.44692556770292163,0.8498528461092878
Aug,558,0.3564255740882876,1.0291198518941918,3.4590276550034043,1.1378991074048608,0.47590622991518805,0.8609564498090738
Sep,540,0.41469039355664006,1.0997491070425385,2.9266068005852555,1.2772344746527677,0.44947729786268914,0.8379856619228199
Oct,558,0.4127590171345836,1.2938105098566566,2.499340610946759,1.4136040855778984,0.43547084001553693,0.8355801543710906
Nov,540,0.49695912206098064,0.09613400808192685,1.0746309454328145,0.09812528887322738,0.0024976375369476526,0.5260087946090369
Dec,558,0.49695912206098064,0.09613400808192685,1.0746309454328145,0.09812528887322738,0.0024976375369476526,0.5260087946090369
