Month,Month_abbr,n_obs,p,mu1_raw,mu1,sd1,N1,mu0_raw,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,557,1.0,0.019724305412051956,0.02046688352466638,0.9379977348001894,557,0.019724305412051956,0.02046688352466638,0.9379977348001894,0,0.02046688352466638,0.8798397504902865,0.0,0.0,1.0124293057168454,1.1036450364843569,1.0376478713496646
2,Feb,508,0.368822767304795,-0.7031600868510196,-0.7296162300350194,1.6177635326606374,201,0.6606040726501013,0.6854590612377391,0.3486552617215917,307,0.16354707636588156,1.5081466173554547,-1.4250561440706693,2.5545694614454773,0.9868285385470267,1.0484891754454417,1.0376246372322966
3,Mar,558,0.40532361251849836,-0.6367308704650844,-0.6608347743796532,1.1090948180974256,173,0.5338621613075303,0.5540718964353112,0.4367638598676292,385,0.061641535747767706,0.9677963807603371,-1.0449733001024224,1.0322983498885536,0.9168909572046691,0.9055435538502868,1.0378557174351586
4,Apr,540,0.4359173874025202,-0.7208169128856889,-0.7483575074163922,1.0478821563309042,197,0.5242132543627979,0.5442421194295582,0.3894398846161955,343,-0.01922453286260095,0.9750549611093284,-1.0079517680140084,0.6662259643781097,0.8098672409264246,0.7069618322498196,1.0382074754883988
5,May,558,0.4065427283913466,-0.8457460799586174,-0.8784164842719423,1.2863130748261744,169,0.36451194779957347,0.3785927138756425,0.4797489425187713,389,-0.13243523515229544,1.1904729659853144,-1.066704542934729,1.275727377776036,0.6866504437710342,0.508618763047947,1.0386290933975402
6,Jun,540,0.3742087617646577,-0.7115604717877725,-0.7387122058439052,1.2758234258460175,148,0.33759727636347653,0.3504793177771398,0.45688943689435063,392,-0.05710569360165241,1.0175543525221051,-1.1319760266509968,1.8119270186051724,0.5808955041125288,0.36368295878480356,1.0381580134544501
7,Jul,558,0.3728614827136807,-0.5335140684649459,-0.5536169031438067,1.1518127709417763,151,0.44532514354167674,0.46210501546654714,0.3580799032306869,407,0.08338143486870606,0.816323890206275,-1.2422795854111686,2.0233967104246835,0.5382088511664245,0.31190950010448876,1.0376800460702036
8,Aug,558,0.4255993726088787,-0.8129243402608833,-0.8445993477421025,1.3239108628900442,210,0.5514161247602981,0.572901654239514,0.2393149640112895,348,-0.030385882876318937,1.2700667415492863,-1.303817540199969,1.4823055577369555,0.5840974113835221,0.36827462164544916,1.0389642749177053
9,Sep,540,0.4133766460701508,-0.5837880398002889,-0.6067944375826345,1.1536713529917058,169,0.5149923672805738,0.5352876087873747,0.39590095946397247,371,0.06317756292200583,0.9584332156244655,-1.106452873452057,1.307886823203276,0.6910509756894102,0.5159325930676056,1.0394088200063434
10,Oct,558,0.41919339439883513,-0.7871913697927925,-0.817868728728051,1.2052530033076096,184,0.4897273585469655,0.5088123517710602,0.47618423328019277,374,-0.04732359364807648,1.1691614855535224,-1.0123402316212424,0.9213865893854205,0.8141672169533627,0.7155397758045166,1.0389706494665123
11,Nov,540,1.0,-0.1399917699443344,-0.14535323981524018,1.067355371277534,540,-0.1399917699443344,-0.14535323981524018,1.067355371277534,0,-0.14535323981524018,1.1392474885950026,0.0,8.881784197001252e-16,0.9203077910780606,0.9130837653118888,1.0382984647814488
12,Dec,558,1.0,0.045295089400596227,0.047010561677695024,0.9229904771297347,558,0.045295089400596227,0.047010561677695024,0.9229904771297347,0,0.047010561677695024,0.8519114208721753,0.0,0.0,0.9896836330127197,1.0550703395103778,1.0378732507165824
