Month,n,p,gap,sd_ratio,dprime,bhatt,E_max_post
Jan,557,1.0,0.0,1.0,0.0,0.0,0.9999999999999989
Feb,508,0.368822767304795,1.363764159501121,4.640008943712584,1.165414739027367,0.6132590441404293,0.8872612124983907
Mar,558,0.40532361251849836,1.1705930317726145,2.539346589787811,1.3888207852332801,0.432567547171284,0.8366480604616277
Apr,540,0.4359173874025202,1.245030167248487,2.6907417491755448,1.5750285712035166,0.5231130388670728,0.8531488469018921
May,558,0.4065427283913466,1.210258027758191,2.6812212822664936,1.2467084372538961,0.4059681476810078,0.8280122354616801
Jun,540,0.3742087617646577,1.049157748151249,2.7924117364548176,1.094872310064549,0.3770541526276793,0.8290787575887757
Jul,558,0.3728614827136807,0.9788392120066226,3.216636176869553,1.147653270365294,0.44836244386530466,0.8492399006229732
Aug,558,0.4255993726088787,1.3643404650211814,5.532085585870802,1.434158250979743,0.7818865909686554,0.9059777429670351
Sep,540,0.4133766460701508,1.0987804070808629,2.9140403058222226,1.2739985373937066,0.446745400577457,0.8375893295608581
Oct,558,0.41919339439883513,1.276918728339758,2.531064489483892,1.393487127211275,0.4329968733184101,0.8330328013789947
Nov,540,1.0,0.0,1.0,0.0,0.0,0.9999999999999988
Dec,558,1.0,0.0,1.0,0.0,0.0,0.9999999999999989
