Month,Month_abbr,n_obs,p,mu1_raw,mu1,sd1,N1,mu0_raw,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,557,0.30694786991048323,-1.0039964274557238,-1.0417947557921,0.6824112798944167,154,0.4731229527784145,0.4909350248371897,0.6824112798944167,403,0.020466883524666968,0.9654454139640887,-0.31177430620782615,-0.3481387169641188,1.0124293057168454,1.1036450364843569,1.0376478713496646
2,Feb,508,0.1982035206360282,-1.4995062328100537,-1.5559246108470997,0.7492960219446573,91,0.41264084269119644,0.42816630470468187,0.7492960219446573,417,0.03491249998035828,1.1870472750316365,-0.5792984374462681,0.08124831722921266,0.9868285385470267,1.0484891754454417,1.0376246372322966
3,Mar,558,0.1533120838590966,-1.6462422140888993,-1.7085618941752785,0.668582912942567,78,0.3705642538869478,0.38459222957366246,0.668582912942567,480,0.06368640902345102,1.0157279074354764,-0.8063173296052404,0.5341296704860561,0.9168909572046691,0.9055435538502868,1.0378557174351586
4,Apr,540,0.17447942026694632,-1.5949193246377875,-1.6558571656398593,0.674033584019638,87,0.31667754425941086,0.3287769937694286,0.674033584019638,453,-0.017500823806282262,1.021647730847815,-0.7098558802496187,0.2906922496465092,0.8098672409264246,0.7069618322498196,1.0382074754883988
5,May,558,0.11821010947916334,-2.221873416751464,-2.307702372484668,0.7750632041971285,55,0.1563021004711196,0.16233990890845018,0.7750632041971285,503,-0.12964405959319267,1.236681080326366,-0.8721691931537868,0.9503153379349634,0.6866504437710342,0.508618763047947,1.0386290933975402
6,Jun,540,0.09341280266006576,-2.2990046536258744,-2.386730104130774,0.723260770371036,44,0.17692709262186873,0.18367827900259073,0.723260770371036,496,-0.05643077204682492,1.0826321032454684,-1.0382088209735985,1.55138963619323,0.5808955041125288,0.36368295878480356,1.0381580134544501
7,Jul,558,0.09495286926986563,-1.9380164933056006,-2.01104104405817,0.6431383776911674,47,0.2931271264010905,0.30417217002831,0.6431383776911674,511,0.08433603237929105,0.8742665762615314,-1.056871067103037,1.5647352838923219,0.5382088511664245,0.31190950010448876,1.0376800460702036
8,Aug,558,0.08612111380896446,-2.194304334200499,-2.2798038115313997,0.6390208104389166,46,0.3338485556266397,0.3468567225289549,0.6390208104389166,512,0.12064579173762774,0.9513555352471684,-1.2723281071578765,2.184623969481712,0.5840974113835221,0.36827462164544916,1.0389642749177053
9,Sep,540,0.14185133229328659,-1.745520551058478,-1.8143094562725148,0.66505939294349,67,0.3597901914598644,0.373969098355154,0.66505939294349,473,0.06355886995239168,1.0252135321961497,-0.8801883277878989,0.7160351426994067,0.6910509756894102,0.5159325930676056,1.0394088200063434
10,Oct,558,0.15834282481690934,-1.9115700044204267,-1.9860651289933946,0.729748599726807,80,0.30551020576999743,0.31741613690750203,0.729748599726807,478,-0.0473235936480762,1.2396690840219948,-0.8063982151226928,0.48922688571714623,0.8141672169533627,0.7155397758045166,1.0389706494665123
11,Nov,540,0.3685745049690401,-1.2190126618982837,-1.2656989753981354,0.713884864599609,188,0.48985228011841914,0.5086128704166468,0.713884864599609,352,-0.14535323981524034,1.2422997427184304,-0.24677847985299545,-0.5923912885530704,0.9203077910780606,0.9130837653118888,1.0382984647814488
12,Dec,558,0.38117789526974666,-0.7605645944871651,-0.7893696480603333,0.7084428723564887,197,0.541683139922772,0.5621984412900127,0.7084428723564887,361,0.04701056167769496,0.9327842501973524,-0.15362530018708445,-0.37569209294432326,0.9896836330127197,1.0550703395103778,1.0378732507165824
