Month,n,p,gap,sd_ratio,dprime,bhatt,E_max_post
Jan,557,0.30694786991048323,1.4771193802341382,1.0,2.1645588573252765,0.5856643808531634,0.8761658806032588
Feb,508,0.1982035206360282,1.9121470755012502,1.0,2.551924766047244,0.8140400014456601,0.9264310178900723
Mar,558,0.1533120838590966,2.0168064679758473,1.0,3.0165390543702038,1.1374384833175852,0.9573627368372493
Apr,540,0.17447942026694632,1.9115968688971985,1.0,2.8360558200932373,1.0054015768355906,0.9461279985325695
May,558,0.11821010947916334,2.3781755172225836,1.0,3.068363333911697,1.176856693611713,0.964978984021139
Jun,540,0.09341280266006576,2.4759317462477433,1.0,3.4232905304370087,1.464864756972462,0.9782899563524348
Jul,558,0.09495286926986563,2.231143619706691,1.0,3.469150181515179,1.50437537273835,0.9790587695587428
Aug,558,0.08612111380896446,2.5281528898271386,1.0,3.956291952511932,1.9565307516888346,0.9882204120984646
Sep,540,0.14185133229328659,2.105310742518342,1.0,3.1655980877142955,1.2526264066175505,0.9644863917404325
Oct,558,0.15834282481690934,2.2170802101904243,1.0,3.0381424658031873,1.1537887053145839,0.9574563717405217
Nov,540,0.3685745049690401,1.7088649420167028,1.0,2.3937542687295106,0.7162574373825943,0.890025125138312
Dec,558,0.38117789526974666,1.302247734409937,1.0,1.8381831270011642,0.42236465104897225,0.8290802686709016
