eval_year,train_end_year,V_hist,V0,Vt,Gamma,n_days,V0_vs_Vhist,Vt_vs_Vhist
2014,2013,18.192142,18.158600,19.123996,21.382386,365,-0.033542,0.931854
2015,2014,18.001892,18.250166,17.807548,16.289646,365,0.248274,-0.194344
2016,2015,18.122556,18.211324,18.480180,19.329187,366,0.088768,0.357624
2017,2016,17.626276,18.210704,16.179658,12.167196,365,0.584428,-1.446617
2018,2017,17.733037,18.244919,18.359667,19.014179,365,0.511882,0.626630
2019,2018,17.763267,18.190011,18.490008,18.156258,365,0.426744,0.726740
2020,2019,17.520744,18.347020,17.043339,14.125417,366,0.826276,-0.477405
2021,2020,17.513847,18.355716,17.910553,17.410394,365,0.841869,0.396706
2022,2021,17.326235,18.336131,17.284646,14.324442,365,1.009896,-0.041589
2023,2022,17.388073,18.321995,18.663385,18.439322,365,0.933922,1.275311
Average 2006-2023,,17.718807,18.262659,17.934298,17.063843,,0.543852,0.215491
