eval_year,train_end_year,N_c_opt,unhedged_MAPE,hedged_MAPE,seller_net_eur,V0_total,payoff_total,n_days
2014,2013,1570.038791,32.839758,12.957650,-5061.469051,181.586000,213.823860,365
2015,2014,1662.880129,33.574164,14.767273,3260.667746,182.505014,162.896458,365
2016,2015,1679.571770,34.788088,14.624863,-1877.530929,182.113239,193.291868,366
2017,2016,1873.671418,33.705661,15.067937,11323.547439,182.107037,121.671961,365
2018,2017,1702.509600,32.870382,12.607797,-1309.672056,182.449189,190.141787,365
2019,2018,1622.103230,34.606290,16.090075,54.751138,181.900112,181.562580,365
2020,2019,1769.258288,33.640707,15.001525,7469.106836,183.470199,141.254165,366
2021,2020,1673.985827,31.956458,13.023539,1582.456108,183.557163,174.103940,365
2022,2021,1731.552477,32.033026,13.905372,6946.549600,183.361886,143.244421,365
2023,2022,1630.878786,33.634219,14.434897,-194.479008,183.200743,184.393223,365
