eval_year,train_end_year,V_hist,V0,Vt,Gamma,n_days,V0_vs_Vhist,Vt_vs_Vhist
2014,2013,18.192142,18.274679,19.313042,21.382386,365,0.082537,1.120900
2015,2014,18.001892,18.355083,17.876854,16.289646,365,0.353191,-0.125039
2016,2015,18.122556,18.366468,18.663314,19.329187,366,0.243912,0.540758
2017,2016,17.626276,18.316468,16.318914,12.167196,365,0.690192,-1.307361
2018,2017,17.733037,18.300739,18.446317,19.014179,365,0.567702,0.713280
2019,2018,17.763267,18.251160,18.609962,18.156258,365,0.487892,0.846695
2020,2019,17.520744,18.468751,17.176264,14.125417,366,0.948007,-0.344480
2021,2020,17.513847,18.474572,18.081733,17.410394,365,0.960725,0.567886
2022,2021,17.326235,18.472783,17.464116,14.324442,365,1.146548,0.137881
2023,2022,17.388073,18.477525,18.807363,18.439322,365,1.089452,1.419290
Average 2006-2023,,17.718807,18.375823,18.075788,17.063843,,0.657016,0.356981
