eval_year,train_end_year,N_c_opt,unhedged_MAPE,hedged_MAPE,seller_net_eur,V0_total,payoff_total,n_days
2014,2013,1571.175794,32.839758,12.965027,-4882.614939,182.747675,213.823860,365
2015,2014,1663.574606,33.574164,14.740637,3425.251882,183.486168,162.896458,365
2016,2015,1679.792404,34.788088,14.635767,-1617.646120,183.661832,193.291868,366
2017,2016,1872.213158,33.705661,15.058526,11510.967838,183.155173,121.671961,365
2018,2017,1702.818169,32.870382,12.630961,-1216.174391,182.999660,190.141787,365
2019,2018,1622.360161,34.606290,16.105402,150.688678,182.491404,181.562580,365
2020,2019,1769.035622,33.640707,14.991943,7635.162693,184.414193,141.254165,366
2021,2020,1675.085094,31.956458,13.020772,1783.886497,184.753468,174.103940,365
2022,2021,1731.488285,32.033026,13.881209,7184.231948,184.736079,143.244421,365
2023,2022,1632.204328,33.634219,14.391822,56.770063,184.741035,184.393223,365
