Year,alpha,beta,delta0,delta1,delta2,delta3,delta0_err,delta1_err,delta2_err,delta3_err,a0,a1,a2,a0_err,a1_err,a2_err
2013,0.004110539014773328,0.9178984991391395,-1.171185625040372,0.9459202583769813,0.011138936225761734,0.5090354818853399,0.3196469580886726,0.04287981490155067,0.03179829852958342,0.1828581881442848,-0.06920030181963042,-0.07367637584289637,-0.39590723202834244,0.016754732283549383,0.023701968513899763,0.023687568556940437
2014,0.006516195806570355,0.9156975667008008,-1.081237568533258,0.9359243789016825,0.02505526783784696,0.4503028166909061,0.30205214368684713,0.04051946937655558,0.030047886921847216,0.17279195138131476,-0.07748412277573025,-0.06803371480807562,-0.39126643243581066,0.015797801219117842,0.02234757452971701,0.022335353278463893
2015,0.007020255629924104,0.9152483789810255,-1.311948889036479,0.9672606009669948,0.000488339052820313,0.5852595707573758,0.2856857534170273,0.0383239268203199,0.028419703298179652,0.16342870123999306,-0.06836435532616657,-0.06066512327052234,-0.37972070144997677,0.015009542831849661,0.02123197683904153,0.021221419924004198
2016,0.005871725990258291,0.9163040154392663,-1.2374561889053761,0.9567749253801066,0.006169834634081939,0.5410021391351039,0.27540191817369036,0.036944509968449765,0.027396928872129574,0.1575482588129897,-0.07126767282223974,-0.06612840658748667,-0.3778732432311705,0.01439172552508055,0.020359928771415695,0.020346015697917316
2017,0.006821990568649994,0.9154137001653995,-1.1560007054987333,0.9456461559713026,0.019045622532672248,0.4960732150430724,0.2640129527436015,0.03541667223995364,0.02626388921211484,0.15103233462035492,-0.051084793021670745,-0.06366293540522203,-0.3740408633209325,0.013753644975162843,0.019456727647948615,0.019444452927373394
2018,0.006181236221103032,0.9159866951010265,-1.1269344213572305,0.9406408584817513,0.022330460570884683,0.4834996963841385,0.25550133395305763,0.03427483082292562,0.025417101122401118,0.14616258155505232,-0.05300340010769712,-0.07651663205639436,-0.3811810934679323,0.01325467748736908,0.018750436582832992,0.01873945114270513
2019,0.0074627089452884215,0.9148481466790515,-1.2977738721719987,0.9632664987659922,0.012547933082264434,0.5876543974214078,0.24717221962440633,0.033157477585028336,0.02458847937591889,0.141397341647179,-0.04069672809262996,-0.07298037842372265,-0.3670485759061601,0.012802714484544835,0.01811072390123604,0.01810081966277478
2020,0.008473064899709575,0.9139561251495448,-1.3211082454331973,0.9673784158334012,0.011602875050784276,0.6011061402772884,0.23857851079555722,0.0320047377621584,0.023733743519397384,0.13648281469967943,-0.029018323091996076,-0.06411299337785303,-0.35931393112134924,0.012352119517521971,0.01747450457657015,0.01746256327415937
2021,0.008582123457763309,0.9140298367728219,-1.4942369921768985,0.9916718998655477,-0.000808598943400753,0.7003631979522769,0.23211331783676767,0.03113742389384146,0.023090541937153333,0.13278383838437963,-0.02924415777991492,-0.05910286626557344,-0.357074864073874,0.011897322008745354,0.01683076623772231,0.016819940302220282
2022,0.0083476227254936,0.9143108055754424,-1.6624389108153697,1.0145904629254954,-0.016788622323800337,0.7958058154318622,0.22660269520422896,0.030398167042322868,0.022542307903688493,0.1296310107921068,-0.022142317972401567,-0.05326472921551792,-0.35440875832487434,0.011511702660506896,0.01628495217847246,0.016275058375334654
