Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr
1,Jan,278,0.475380093856152,-0.16106764523634942,0.9610441253351957,73,0.07061894278641588,0.8284993236709225,205,-0.0395202491730579,0.8125558912726267,-0.056343413532272235,0.06463507072263885,1.0489561333242596,1.177515215877089,1.034489143368704
2,Feb,254,0.5200075771399063,-0.4822258586395429,1.2369375634976238,114,0.6922521436341298,0.33480415503722255,140,0.08151468326767991,1.193720804039686,-0.9437038088398827,0.808389134784488,1.0257797011916239,1.125986237785891,1.0344569946642375
3,Mar,279,0.3779804849456849,-0.7679246578107993,1.2122053576407052,77,0.5033863857114118,0.5016999154711461,202,0.02285562096408167,1.0919786440849928,-1.0602442972222668,1.2338522284420446,0.9537975564759967,0.9739607803330879,1.0347001903859834
4,Apr,270,0.44826174814748926,-0.7021877447753628,1.0698784239174919,99,0.5020955198916707,0.4090414986797009,171,-0.03773860159273923,0.9641046327600545,-0.9697200023616138,0.7257681897639361,0.8396927584729191,0.755471486208044,1.0351150686486252
5,May,279,0.44328517346268115,-0.6166733258859958,1.1394544239897775,94,0.4231138875148802,0.4101664980522534,185,-0.03780836774180499,0.9360136622098598,-0.9954390896851449,1.1552077067826456,0.7040286279654727,0.5316919089528448,1.0357136654913586
6,Jun,270,0.4131888239424324,-0.7376310001386323,1.2937087572254873,80,0.2996507154444191,0.446249874447422,190,-0.12894249671433053,1.0692835638348146,-1.0486889188641841,1.6220763481739269,0.5816708267764717,0.36266305832369383,1.0353194600115776
7,Jul,279,0.3388540920154674,-0.4543940403227419,1.1245911921378935,68,0.4400611248805144,0.35916603583168566,211,0.1369713320270202,0.6930753727170631,-1.2728222096130073,2.521403649611278,0.5247421714335229,0.29467499429922933,1.034488515811107
8,Aug,279,0.3626960480652388,-0.6124022473163719,1.4066047033247597,77,0.5046817519033597,0.3525919073182305,202,0.09951980002945068,1.085281499936064,-1.348669069569065,2.6541074894409773,0.5686507225642665,0.3470586100880459,1.0359906032910493
9,Sep,270,0.3847539015045512,-0.6297337436703384,1.2802739941149155,80,0.49518190907208787,0.39617883380137126,190,0.0623662228159004,1.026770012124908,-1.2126814261938912,1.9110251256556596,0.6849880346984047,0.5041581199543591,1.0365742062608134
10,Oct,279,0.472380427051477,-0.7531953684108574,1.1451948772554348,107,0.5012405876223648,0.4775091366561809,172,-0.09133040499733652,1.1320205184123295,-0.8663119104746444,0.5562344858899522,0.8212921955311209,0.7239964855161379,1.036025710306174
11,Nov,270,0.5344592227478141,-0.24807639881458782,1.073494751355871,140,0.0016181482430384644,0.9787955708931251,130,-0.13183340530174797,1.0774258406995023,-0.0321509714003569,0.02280322850919081,0.9400375754263709,0.9470334282740279,1.035231410772753
12,Dec,279,0.5031579577579549,-0.27725509572516077,1.0413960562014282,108,0.4726453202353162,0.694439400112167,171,0.09532695841880176,0.9258598740446404,-0.37945374486523475,0.26748751217765454,1.0195269410408117,1.1129253292600847,1.03474731187384
