Year,alpha,beta,delta0,delta1,delta2,delta3,delta0_err,delta1_err,delta2_err,delta3_err,a0,a1,a2,a0_err,a1_err,a2_err,n_obs
2013,0.0040676119,0.9188523806,-1.1721326851,0.9460246328,0.0110626697,0.5094743974,0.3196908465,0.0428846753,0.0318017819,0.1828786226,-0.0654687719,-0.0705798861,-0.3928591282,0.0164181859,0.0232258755,0.0232117647,3287
2014,0.0064739252,0.9166462274,-1.0821799299,0.9360283626,0.0249792892,0.4507401299,0.3020935877,0.0405240584,0.0300511757,0.1728112447,-0.0740589416,-0.0654531173,-0.3885445091,0.0155317396,0.0219712036,0.0219591882,3652
2015,0.0069766136,0.9161973683,-1.3129240515,0.9673682339,0.0004096946,0.5857122405,0.2857249507,0.0383282670,0.0284228137,0.1634469485,-0.0651067675,-0.0583379762,-0.3771886793,0.0147775129,0.0209037554,0.0208933617,4017
2016,0.0058284562,0.9172548625,-1.2384224184,0.9568816112,0.0060918829,0.5414508376,0.2754396962,0.0369486928,0.0273999265,0.1575658445,-0.0680628725,-0.0638965797,-0.3753939941,0.0141773395,0.0200566375,0.0200429317,4383
2017,0.0067793032,0.9163621611,-1.1569619988,0.9457524464,0.0189679625,0.4965202984,0.2640491393,0.0354206782,0.0262667600,0.1510491764,-0.0480440757,-0.0616259622,-0.3717039151,0.0135652593,0.0191902260,0.0191781194,4748
2018,0.0061387200,0.9169362093,-1.1278906195,0.9407465854,0.0222532123,0.4839444095,0.2555363533,0.0342787075,0.0254198793,0.1461788800,-0.0499551064,-0.0744553593,-0.3787960673,0.0130751469,0.0184964675,0.0184856309,5113
2019,0.0073930456,0.9158223563,-1.2987560560,0.9633751694,0.0124685353,0.5881115147,0.2472060854,0.0331612263,0.0245911658,0.1414131020,-0.0378604337,-0.0710987038,-0.3648466781,0.0126438525,0.0178859977,0.0178762164,5478
2020,0.0084032426,0.9149285869,-1.3220962557,0.9674877695,0.0115229790,0.6015661425,0.2386111934,0.0320083554,0.0237363360,0.1364980237,-0.0262977881,-0.0623999777,-0.3572345507,0.0122090529,0.0172721087,0.0172603057,5844
2021,0.0085105497,0.9150039578,-1.4952557235,0.9917847925,-0.0008910781,0.7008381311,0.2321450905,0.0311409402,0.0230930617,0.1327986214,-0.0265972012,-0.0575017763,-0.3550679925,0.0117648320,0.0166433369,0.0166326315,6209
2022,0.0082743715,0.9152870563,-1.6634762854,1.0147053072,-0.0168725294,0.7962889229,0.2266337322,0.0304016024,0.0225447697,0.1296454535,-0.0195616930,-0.0517420212,-0.3524788097,0.0113875020,0.0161092526,0.0160994655,6574
