train_end_year,theta,b_star_0,b_star_1,b_star_2,b_star_0_err,b_star_1_err,b_star_2_err,b0,b1,b2,b0_err,b1_err,b2_err,c0,c1,c2,gamma0,gamma1,gamma2
2013,0.9211196233,1.0639921438,0.2333770546,0.6108213860,0.0410178055,0.0580079368,0.0580079368,0.7442511235,0.1366816661,0.4303993422,0.0269259134,0.0380847804,0.0380732025,1.6292656337,0.2934620723,0.9440203271,0.8843941614,0.1640703145,0.5108978047
2014,0.9360706801,1.0641706990,0.2246127312,0.5915706909,0.0377880984,0.0534404412,0.0534404412,0.7423250506,0.1271166904,0.4196640234,0.0247655907,0.0350286262,0.0350190415,1.6423156987,0.2755976326,0.9301609575,0.8772391517,0.1517654491,0.4954478628
2015,0.9337881356,1.0585328733,0.2097474001,0.5810221492,0.0357766208,0.0505957824,0.0505957824,0.7385465312,0.1202539598,0.4111206914,0.0235485002,0.0333067508,0.0332984653,1.6313284139,0.2601053258,0.9097039028,0.8735002897,0.1437518937,0.4857789971
2016,0.9497119780,1.0728991609,0.2134667992,0.5968422758,0.0341968390,0.0483671220,0.0483561444,0.7456459921,0.1207394237,0.4229343711,0.0223227573,0.0315763420,0.0315619486,1.6655563690,0.2639949414,0.9463322208,0.8768744670,0.1434903606,0.4969202084
2017,0.9573179969,1.0708751452,0.2229763028,0.6143225606,0.0333111029,0.0471139487,0.0471040777,0.7421609134,0.1240676410,0.4321929783,0.0214807879,0.0303848139,0.0303720279,1.6666202881,0.2727703447,0.9722147120,0.8704632596,0.1470193962,0.5064586130
2018,0.9738162030,1.0803508607,0.2330097972,0.6317163805,0.0328695783,0.0464891256,0.0464800808,0.7460096688,0.1310552361,0.4429589933,0.0212132590,0.0300059409,0.0299942153,1.6946253625,0.2916886062,1.0079908666,0.8700950741,0.1543280351,0.5161827401
2019,0.9677481975,1.0763881687,0.2096234492,0.5966399340,0.0314288347,0.0444511200,0.0444430481,0.7451790380,0.1256286195,0.4199446372,0.0203888567,0.0288394567,0.0288289376,1.6856141133,0.2784831097,0.9516204902,0.8708949899,0.1482431475,0.4903489381
2020,0.9669727517,1.0657240610,0.1883294408,0.5761906865,0.0300006564,0.0424345408,0.0424201283,0.7397484525,0.1149261617,0.4104564515,0.0196115123,0.0277419779,0.0277277536,1.6724270894,0.2542636140,0.9295117818,0.8647746726,0.1357414025,0.4794215244
2021,0.9764733757,1.0595510442,0.1739923848,0.5759099177,0.0286623031,0.0405410973,0.0405281371,0.7325659153,0.1053190524,0.4058204209,0.0187210383,0.0264819358,0.0264691553,1.6671576040,0.2341683899,0.9249810122,0.8536626013,0.1240703511,0.4725398882
2022,0.9635916700,1.0431969248,0.1620133962,0.5599624977,0.0273973342,0.0387515313,0.0387398309,0.7238743865,0.1022491572,0.3943294780,0.0180319110,0.0255067858,0.0254951591,1.6326889571,0.2252835666,0.8907817299,0.8471892233,0.1210168725,0.4611385446
