Month,Month_abbr,n_obs,p,mu1,sd1,N1,mu0,sd0,N0,mean,variance,skewness,kurtosis,I_avg,J_avg,mean_corr_paper,mean_corr_legacy
1,Jan,278,0.4682219728,-0.7161460017,0.6799485379,123,0.5608938040,0.5040724827,155,-0.0370442932,0.7576528379,-0.3511838013,-0.4572150207,1.0548506442,1.1903170165,0.9413782611,0.9668512239
2,Feb,254,0.5310061174,-0.3983954260,1.2585142386,115,0.6484075660,0.3407187613,139,0.0925487735,1.1683791436,-0.8949123351,0.9616209963,1.0329602787,1.1413444250,0.9513349451,0.9668859748
3,Mar,279,0.2785304981,-1.1149008162,1.0896088097,60,0.4659635482,0.5533299249,219,0.0256446094,1.0537835570,-1.1013128214,1.2479127265,0.9618534810,0.9900675756,0.9856484463,0.9666661303
4,Apr,270,0.3912600896,-0.8432468411,1.0635243836,85,0.4627941747,0.4368786387,185,-0.0482075502,0.9650004130,-1.0473098537,0.8942651786,0.8480769514,0.7703023159,1.0492694501,0.9662837110
5,May,279,0.3495762168,-0.9256696542,1.1256778168,74,0.4210904589,0.4746026828,205,-0.0497048464,1.0018722789,-1.1210854108,1.2390007521,0.7119441355,0.5434851425,1.1445351119,0.9657218972
6,Jun,270,0.2128410565,-1.8788454197,1.0978527841,46,0.3161149454,0.5975323856,224,-0.1510627377,1.3447658625,-1.2525839727,1.4933734833,0.5880172125,0.3704884139,1.2598176948,0.9660569370
7,Jul,279,0.2777156169,-0.7594863119,1.1709682462,54,0.5427172015,0.3963820529,225,0.1810749495,0.8344254866,-1.5064860797,2.6872981714,0.5283927395,0.2986671844,1.3301011435,0.9668588740
8,Aug,279,0.1384952148,-2.4642377193,1.0432831787,33,0.5299479891,0.5533946436,246,0.1152675964,1.4842460569,-1.7442060999,2.9837648893,0.5698544502,0.3483545685,1.2790019803,0.9655020251
9,Sep,270,0.2269580240,-1.4833115841,1.1344509981,48,0.5275948021,0.5091939682,222,0.0712034622,1.2019905926,-1.4166199773,1.9336585628,0.6854935849,0.5047005977,1.1654262286,0.9649092847
10,Oct,279,0.3260016185,-1.2622999682,0.9746532478,76,0.4919711957,0.5687383432,203,-0.0799240431,1.2038938011,-0.8609437807,0.3317108102,0.8225163029,0.7258916298,1.0644771983,0.9654029475
11,Nov,270,0.4148459657,-1.1240674530,0.6786525891,106,0.5834877250,0.5479240349,164,-0.1248846518,1.0745342089,-0.3638076284,-0.6992640549,0.9426765686,0.9520043928,0.9950888958,0.9661470588
12,Dec,279,0.4461836750,-0.6589273697,0.7707873285,118,0.6547504103,0.5317551186,161,0.0686088307,0.8481218324,-0.4653928879,-0.2746659988,1.0238156442,1.1218794944,0.9552955961,0.9666041522
